name,position,url
John James Rankin,Governor,
Kye M. Rymer,"Minister for Transportation, Works and Utilities",
Dr. Natalio D. Wheatley,"Minister for Education, Culture, Youth Affairs, Fisheries and Agriculture",
Carvin Malone,Minister for Health and Social Development,
Vincent O. Wheatley,"Minister for Natural Resources, Labour and Immigration",
Andrew A. Fahie,Minister of Finance,
Andrew A. Fahie,Premier,
