name,position,url
John James Rankin,Governor,
Kye M. Rymer,Minister for Communications and Works,
Sharie B. de Castro,"Minister for Education, Culture, Youth Affairs and Sports",
Marlon A. Penn,Minister for Health and Social Development,
Melvin M. Turnbull,Minister for Natural Resources and Labour,
Dr. Natalio D. Wheatley,Minister of Finance,
Dr. Natalio Wheatley,Premier,
